ID||Anzahl|Original|Alternativname|normalisiert (deutsch)|Long|Lat|wikidata-id|Getty-id|Geonames-id|Kommentar |Zuordnung|Lage|Sicherheit|Inst. in der Stadt|wikidata-id inst|Geonames-id inst||||||||GND|
4898|0|23|et sine loco||-|||||||||||||0|0|Otto IV.|0|0|0|0||
11593|0|1|[Marienstift zu] Aachen||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Kloster|||Marienstift|https://www.wikidata.org/wiki/Q1646116||0|0|0|0|0|0|0||
11527|0|2|[Aachen]<sup>1</sup>||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
11526|0|1|[Aachen]||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
9058|0|1|Prüm -- (Aachen?)||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449|doppelt|||unsicher||||||||||||
8944|0|1|prope Aquisgranum||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449|||Umgebung|||||||0|Friedrich II. 1214 sept. 1 prope Aquisgranum|5|1|1337||
8754|0|1|Pfalz Aachen||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|0|0|0|0|0||
6579|0|4|in obsidione Aquensi||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449|||Umland|||||0|0|0|0|0|0|0||
6374|0|1|in der Kaiserpfalz zu Aachen||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|0|0|0|0|0||
6287|0|1|in civitate nostra imperiali (Achen?)||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
5115|0|1|Frankfurt-Sinzig-Aachen||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449|doppelt|||||||||||||||
4479|0|1|coram Aquisgrano||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
4478|0|4|coram Aquis||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
3238|0|1|auf dem feierlichen <span class="spaced">Hoftag</span> zu Aachen||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Hoftag|||0|0|0|0|0|0|0||
3130|0|2|Aquisgranum||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
3129|0|1|Aquisgrani palatii||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|0|0|0|0|0||
3128|0|176|Aquisgrani pal. r.||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|0|0|0|0|0||
3127|0|4|Aquisgrani pal. nostro||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|0|0|0|0|0||
3126|0|41|Aquisgrani pal.||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|0|0|0|0|0||
3125|0|3|Aquisgrani pal .r.||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|0|0|0|0|0||
3124|0|172|Aquisgrani||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||||Friedrich II.|Otto IV. 1198 iun. 18 Aquisgrani|5|1|388||
3123|0|1|Aquisgradi||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
3122|0|1|Aquis. pal.||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|0|0|0|0|0||
3121|0|4|Aquis pal. publ.||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|0|0|0|0|0||
